;devTeam;key;lastMove;observationDate;sp;type
0;Team M;TUH-1478;12/05/2020;2020-05-22 15:04:30.182284;1.0;Bug
1;Team S;TUH-1444;18/05/2020;2020-05-22 15:04:30.182284;3.0;Task
2;Team S;TUH-1443;06/05/2020;2020-05-22 15:04:30.182284;2.0;Task
3;Team S;TUH-1441;06/05/2020;2020-05-22 15:04:30.182284;1.0;Bug
4;Team O;TUH-1440;23/04/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
5;Team S;TUH-1437;30/04/2020;2020-05-22 15:04:30.182284;2.0;Bug
6;Team O;TUH-1425;20/04/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
7;Team M;TUH-1423;08/05/2020;2020-05-22 15:04:30.182284;3.0;Task
8;Team O;TUH-1420;07/05/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
9;Team M;TUH-1401;18/05/2020;2020-05-22 15:04:30.182284;3.0;Task
10;Team M;TUH-1398;05/05/2020;2020-05-22 15:04:30.182284;2.0;Story
11;Team M;TUH-1397;14/05/2020;2020-05-22 15:04:30.182284;2.0;Story
12;Team O;TUH-1396;22/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
13;Team O;TUH-1395;09/04/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
14;Team M;TUH-1389;22/04/2020;2020-05-22 15:04:30.182284;3.0;Task
15;Team M;TUH-1388;30/04/2020;2020-05-22 15:04:30.182284;1.0;Task
16;Team O;TUH-1381;16/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
17;Team M;TUH-1371;14/05/2020;2020-05-22 15:04:30.182284;5.0;Story
18;Team S;TUH-1366;11/05/2020;2020-05-22 15:04:30.182284;2.0;Story
19;Team S;TUH-1365;07/05/2020;2020-05-22 15:04:30.182284;2.0;Story
20;Team M;TUH-1362;30/03/2020;2020-05-22 15:04:30.182284;1.0;Task
21;Team O;TUH-1361;23/04/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
22;Team O;TUH-1360;08/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
23;Team M;TUH-1348;30/04/2020;2020-05-22 15:04:30.182284;3.0;Story
24;Team O;TUH-1343;21/05/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
25;Team O;TUH-1341;19/05/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
26;Team O;TUH-1340;29/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
27;Team O;TUH-1339;06/05/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
28;Team O;TUH-1338;07/04/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
29;Team S;TUH-1337;23/04/2020;2020-05-22 15:04:30.182284;4.0;Story
30;Team O;TUH-1330;21/05/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
31;Team M;TUH-1325;19/03/2020;2020-05-22 15:04:30.182284;5.0;Task
32;Team S;TUH-1317;06/05/2020;2020-05-22 15:04:30.182284;2.0;Task
33;Team S;TUH-1316;06/05/2020;2020-05-22 15:04:30.182284;2.0;Task
34;Team M;TUH-1304;06/03/2020;2020-05-22 15:04:30.182284;2.0;Task
35;Team O;TUH-1302;03/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
36;Team S;TUH-1300;12/03/2020;2020-05-22 15:04:30.182284;1.0;Bug
37;Team S;TUH-1299;11/03/2020;2020-05-22 15:04:30.182284;2.0;Task
38;Team S;TUH-1298;11/03/2020;2020-05-22 15:04:30.182284;2.0;Story
39;Team O;TUH-1296;05/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
40;Team O;TUH-1292;20/05/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
41;Team M;TUH-1290;11/03/2020;2020-05-22 15:04:30.182284;3.0;Bug
42;Team M;TUH-1286;14/05/2020;2020-05-22 15:04:30.182284;2.0;Story
43;Team S;TUH-1284;25/02/2020;2020-05-22 15:04:30.182284;2.0;Task
44;Team S;TUH-1282;16/04/2020;2020-05-22 15:04:30.182284;3.0;Task
45;Team S;TUH-1281;25/02/2020;2020-05-22 15:04:30.182284;1.0;Task
46;Team S;TUH-1280;04/03/2020;2020-05-22 15:04:30.182284;5.0;Task
47;Team M;TUH-1277;27/02/2020;2020-05-22 15:04:30.182284;2.0;Task
48;Team O;TUH-1275;12/02/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
49;Team S;TUH-1272;07/04/2020;2020-05-22 15:04:30.182284;2.0;Story
50;Team S;TUH-1268;23/04/2020;2020-05-22 15:04:30.182284;5.0;Story
51;Team S;TUH-1266;26/02/2020;2020-05-22 15:04:30.182284;2.0;Task
52;Team S;TUH-1264;20/05/2020;2020-05-22 15:04:30.182284;2.0;Story
53;Team S;TUH-1263;23/04/2020;2020-05-22 15:04:30.182284;1.0;Story
54;Team S;TUH-1262;20/04/2020;2020-05-22 15:04:30.182284;1.0;Story
55;Team S;TUH-1260;23/04/2020;2020-05-22 15:04:30.182284;3.0;Story
56;Team M;TUH-1259;30/03/2020;2020-05-22 15:04:30.182284;1.0;Story
57;Team M;TUH-1258;11/03/2020;2020-05-22 15:04:30.182284;0.5;Story
58;Team S;TUH-1255;11/03/2020;2020-05-22 15:04:30.182284;3.0;Task
59;Team S;TUH-1254;26/02/2020;2020-05-22 15:04:30.182284;3.0;Task
60;Team O;TUH-1252;08/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
61;Team O;TUH-1250;25/03/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
62;Team O;TUH-1245;17/02/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
63;Team M;TUH-1244;27/02/2020;2020-05-22 15:04:30.182284;3.0;Task
64;Team S;TUH-1243;06/04/2020;2020-05-22 15:04:30.182284;1.0;Story
65;Team O;TUH-1241;09/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
66;Team M;TUH-1240;12/02/2020;2020-05-22 15:04:30.182284;3.0;Task
67;Team S;TUH-1238;30/04/2020;2020-05-22 15:04:30.182284;3.0;Story
68;Team S;TUH-1237;30/04/2020;2020-05-22 15:04:30.182284;2.0;Story
69;Team S;TUH-1236;07/05/2020;2020-05-22 15:04:30.182284;2.0;Story
70;Team S;TUH-1235;20/04/2020;2020-05-22 15:04:30.182284;1.0;Story
71;Team S;TUH-1234;23/04/2020;2020-05-22 15:04:30.182284;2.0;Story
72;Team S;TUH-1233;11/05/2020;2020-05-22 15:04:30.182284;2.0;Story
73;Team S;TUH-1232;13/02/2020;2020-05-22 15:04:30.182284;2.0;Task
74;Team O;TUH-1224;05/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
75;Team O;TUH-1223;05/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
76;Team O;TUH-1222;26/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
77;Team O;TUH-1218;20/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
78;Team O;TUH-1197;11/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
79;Team M;TUH-1194;22/01/2020;2020-05-22 15:04:30.182284;5.0;Task
80;Team M;TUH-1192;12/02/2020;2020-05-22 15:04:30.182284;5.0;Task
81;Team O;TUH-1190;10/02/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
82;Team O;TUH-1189;26/02/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
83;Team O;TUH-1186;25/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
84;Team O;TUH-1185;09/03/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
85;Team O;TUH-1184;29/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
86;Team O;TUH-1182;26/02/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
87;Team O;TUH-1181;13/02/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
88;Team S;TUH-1180;15/01/2020;2020-05-22 15:04:30.182284;3.0;Task
89;Team O;TUH-1179;17/12/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
90;Team O;TUH-1177;09/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
91;Team O;TUH-1176;12/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
