,daysInStatus,devTeam,end,key,observationDate,sp,start,status,type
0,0.0,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Open,Bug
1,0.03,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,In Development,Bug
2,0.01,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Code Review,Bug
3,0.05,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Merged,Bug
4,0.04,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Ready to Test,Bug
5,0.0,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Ready For Signoff,Bug
6,0.0,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Done,Bug
7,19.06,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Open,Task
8,0.98,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,In Development,Task
9,0.12,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Code Review,Task
10,0.0,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Merged,Task
11,4.9,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Ready to Test,Task
12,0.0,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Done,Task
13,5.07,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Open,Task
14,0.99,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,In Development,Task
15,0.01,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Code Review,Task
16,6.93,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Ready to Test,Task
17,0.41,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Ready For Signoff,Task
18,0.0,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Done,Task
19,6.81,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Open,Bug
20,1.18,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Ready to Test,Bug
21,3.99,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,In Testing,Bug
22,2.18,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Ready For Signoff,Bug
23,0.0,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Done,Bug
24,0.0,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Open,Ops Task
25,0.13,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Ready for Development,Ops Task
26,0.31,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,In Development,Ops Task
27,0.63,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Code Review,Ops Task
28,0.0,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Done,Ops Task
29,3.95,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Open,Bug
30,2.95,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,In Development,Bug
31,0.07,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Code Review,Bug
32,1.07,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Merged,Bug
33,0.76,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,In Testing,Bug
34,1.27,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Ready For Signoff,Bug
35,0.0,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Done,Bug
36,0.0,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Open,Ops Task
37,0.08,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,In Refinement,Ops Task
38,0.0,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Ready for Development,Ops Task
39,0.23,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,In Development,Ops Task
40,2.74,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Code Review,Ops Task
41,0.05,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Ready For Signoff,Ops Task
42,0.0,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Done,Ops Task
43,0.0,Team B,2020-05-08,KEY-1424,2020-05-18 15:23:26.721638,,2020-05-08,Open,Task
44,22.06,Team B,2020-05-08,KEY-1424,2020-05-18 15:23:26.721638,,2020-05-08,In Refinement,Task
45,0.0,Team B,2020-05-08,KEY-1424,2020-05-18 15:23:26.721638,,2020-05-08,Withdrawn,Task
46,7.86,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Open,Task
47,5.02,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Ready for Development,Task
48,8.12,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,In Development,Task
49,0.94,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Code Review,Task
50,0.98,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Ready For Signoff,Task
51,0.0,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Done,Task
52,13.1,,2020-04-23,KEY-1422,2020-05-18 15:23:26.721638,,2020-04-23,Open,Bug
53,0.0,,2020-04-23,KEY-1422,2020-05-18 15:23:26.721638,,2020-04-23,Withdrawn,Bug
54,7.05,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,Open,Ops Task
55,0.04,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,In Refinement,Ops Task
56,3.88,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,Ready for Development,Ops Task
57,14.95,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,In Development,Ops Task
58,2.03,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,In Testing,Ops Task
59,0.0,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,Done,Ops Task
60,14.95,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Open,Story
61,1.82,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,In Refinement,Story
62,0.96,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Awaiting clarification,Story
63,3.91,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,In Development,Story
64,0.0,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Merged,Story
65,0.04,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Ready to Test,Story
66,0.12,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,In Testing,Story
67,7.13,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Ready For Signoff,Story
68,0.0,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Done,Story
